run         lumi          event
166890       331      364942254
166890       348      383223734
166890       352      387278161
166890       356      392365592
166890       364      399925621
166890       368      404205061
167041       412      454785645
167041       416      458528078
167041       458      503877817
166563       506      507481956
166563       573      573025687
166563       581      580859237
166563       602      601120469
166563       624      622295107
166950       359      432718650
166950       366      441861391
166950       370      446668939
166950       392      472162206
166950       394      474990155
166950       398      478722387
165633       189      232541301
165633       190      233902380
166514        95       81158971
166514       101       86552980
166514       166      142911156
167746       284      346099422
167746       287      350669722
167746       294      359504028
167746       295      361113293
167746       297      363099194
167746       301      367886436
167746       307      376025384
167746       309      379032218
167746       315      386617120
167830         3         252633
167830         8        4503364
167830        19       15819574
167830        43       38797448
167830        62       57233123
167830       178      167926700
167830       178      167198970
167830       207      199334119
167830       224      217636769
166438       321      371388575
166438       426      491341121
166438       426      490791058
166438       510      585951128
166438       757      850844512
166438       757      850740589
166512       401      487599824
166512       437      531774944
166512       437      531608625
166512       443      538165617
167830      1027     1054380210
167830      1096     1123354432
167830      1100     1127581305
167830      1114     1141233617
167830      1121     1147336446
167830      1124     1150331875
167039       148      187217714
167039       152      192885420
167039       153      194242382
167039       155      196172587
167039       170      215100442
166438       235      270277536
166438       294      339884193
166438       336      388787206
166438       418      481857983
166438       613      698866207
166438       729      822116970
166438       769      863150818
166438       774      867726721
165567        78       73908094
165567        88       89080229
167746       116      124121076
167746       134      147845109
167746       137      151941900
167746       167      192466956
165993      1204     1300853446
165993      1213     1308910998
165993      1233     1327737063
165993      1235     1329996703
165993      1237     1331921024
165548       306      417709133
165548       318      433128210
165548       323      440024334
165548       329      448318113
165548       337      458610636
165548       352      478829812
165548       353      480360903
165548       387      522041969
165548       562      747789161
165548       390      525678640
167551       275      353992948
167551       277      356530216
167551       277      356762430
167551       280      361194719
167551       286      370170616
165633       249      318335980
165633       290      375660652
166889       134      157670961
166889       150      177267865
166889       157      185178225
166889       172      203256086
166889       187      221370763
166781        46       41428575
166781        54       51653119
166781        57       55678059
166781        68       70381606
166895       244      223158385
166895       248      227248633
166895       375      343381762
166895       464      423116904
166895       471      429385048
166049       624      828788136
166049       629      835249375
166049       647      857327413
166763       422      472777417
166763       431      483546273
167898       854     1034074841
166701       543      494463692
166701       578      524860582
167098       302      319369664
167098       319      340122688
167098       327      350121734
167098       344      369688956
165514       139      161234553
165514       142      165744300
165514       153      183049040
167898       874     1056641806
167898       881     1064754753
167898       890     1075420863
167898       958     1154136843
167898       975     1173261216
167898       986     1185933424
165472       280      319042188
165472       295      335572165
166782       218      242674661
166782       333      366721574
166782       347      380975367
166782       369      403913934
166782       387      422820317
166782       387      423366811
166699       400      431757191
166699       411      444170318
166699       425      459757084
166699       435      470524574
166699       438      473963177
166699       439      475030787
167898      1006     1208216094
167898      1007     1209717592
167898      1015     1215571236
167898      1028     1230018861
167898      1037     1240233468
167898      1045     1249686693
167898      1050     1255274351
167898      1071     1274758970
166033        90      105999140
166033       101      123437104
166033       109      135974178
166380       874      963715934
166380      1348     1430551856
166380      1355     1436847746
166380      1382     1462525555
166512       245      291402679
166408       943     1177508176
166408       945     1179513433
166408       957     1193586906
166408       965     1202901804
166408       985     1225271728
166380       678      760794256
166380       683      766736964
166380       717      799130737
166380       731      813097931
165467       325      409928092
165467       337      426622214
165467       343      434517314
165467       348      440734462
165467       355      451022906
165467       362      459672730
165467       379      482773872
165567       175      204583242
165567       197      233786987
165567       248      304375466
165567       380      473118587
165567       553      696421265
165567       554      697531508
165567       556      701000452
165567       557      702018138
165567       567      717449782
165567       593      755406242
165993      1022     1123291740
165993      1124     1223117694
165993      1137     1236038215
165993      1154     1252610353
165993      1157     1255466804
165993      1171     1268257812
165993      1175     1272428618
165993      1189     1286085393
166150        15       19091307
166150        22       28563258
166150        36       49829177
166150        43       60948319
166150        87      124721990
166554       396      472814806
166554       412      493207614
166554       428      512772507
166554       428      512287488
166554       436      521371085
166554       437      522508085
166554       446      532574640
166864       146      153161504
166864       153      161195147
166864       167      176038951
166864       175      184112690
166864       179      188447048
